product_code,product_name,category,description,unit,raw_material_cost,labor_cost,overhead_cost,selling_price,min_stock_level,current_stock,is_active,image_url,business_id
PRD-001,Plastic Product 1,Plastic,Plastic manufacturing item 1,pcs,5.5,2.2,1.1,12.8,100,300,1,,1
PRD-002,Plastic Product 2,Plastic,Plastic manufacturing item 2,pcs,6.0,2.4,1.2,13.6,100,300,1,,1
PRD-003,Plastic Product 3,Plastic,Plastic manufacturing item 3,pcs,6.5,2.6,1.3,14.4,100,300,1,,1
PRD-004,Plastic Product 4,Plastic,Plastic manufacturing item 4,pcs,7.0,2.8,1.4,15.2,100,300,1,,1
PRD-005,Plastic Product 5,Plastic,Plastic manufacturing item 5,pcs,7.5,3.0,1.5,16.0,100,300,1,,1
PRD-006,Plastic Product 6,Plastic,Plastic manufacturing item 6,pcs,8.0,3.2,1.6,16.8,100,300,1,,1
PRD-007,Plastic Product 7,Plastic,Plastic manufacturing item 7,pcs,8.5,3.4,1.7,17.6,100,300,1,,1
PRD-008,Plastic Product 8,Plastic,Plastic manufacturing item 8,pcs,9.0,3.6,1.8,18.4,100,300,1,,1
PRD-009,Plastic Product 9,Plastic,Plastic manufacturing item 9,pcs,9.5,3.8,1.9,19.2,100,300,1,,1
PRD-010,Plastic Product 10,Plastic,Plastic manufacturing item 10,pcs,10.0,4.0,2.0,20.0,100,300,1,,1
PRD-011,Plastic Product 11,Plastic,Plastic manufacturing item 11,pcs,10.5,4.2,2.1,20.8,100,300,1,,1
PRD-012,Plastic Product 12,Plastic,Plastic manufacturing item 12,pcs,11.0,4.4,2.2,21.6,100,300,1,,1
PRD-013,Plastic Product 13,Plastic,Plastic manufacturing item 13,pcs,11.5,4.6,2.3,22.4,100,300,1,,1
PRD-014,Plastic Product 14,Plastic,Plastic manufacturing item 14,pcs,12.0,4.8,2.4,23.2,100,300,1,,1
PRD-015,Plastic Product 15,Plastic,Plastic manufacturing item 15,pcs,12.5,5.0,2.5,24.0,100,300,1,,1
PRD-016,Plastic Product 16,Plastic,Plastic manufacturing item 16,pcs,13.0,5.2,2.6,24.8,100,300,1,,1
PRD-017,Plastic Product 17,Plastic,Plastic manufacturing item 17,pcs,13.5,5.4,2.7,25.6,100,300,1,,1
PRD-018,Plastic Product 18,Plastic,Plastic manufacturing item 18,pcs,14.0,5.6,2.8,26.4,100,300,1,,1
PRD-019,Plastic Product 19,Plastic,Plastic manufacturing item 19,pcs,14.5,5.8,2.9,27.2,100,300,1,,1
PRD-020,Plastic Product 20,Plastic,Plastic manufacturing item 20,pcs,15.0,6.0,3.0,28.0,100,300,1,,1
PRD-021,Plastic Product 21,Plastic,Plastic manufacturing item 21,pcs,15.5,6.2,3.1,28.8,100,300,1,,1
PRD-022,Plastic Product 22,Plastic,Plastic manufacturing item 22,pcs,16.0,6.4,3.2,29.6,100,300,1,,1
PRD-023,Plastic Product 23,Plastic,Plastic manufacturing item 23,pcs,16.5,6.6,3.3,30.4,100,300,1,,1
PRD-024,Plastic Product 24,Plastic,Plastic manufacturing item 24,pcs,17.0,6.8,3.4,31.2,100,300,1,,1
PRD-025,Plastic Product 25,Plastic,Plastic manufacturing item 25,pcs,17.5,7.0,3.5,32.0,100,300,1,,1
PRD-026,Plastic Product 26,Plastic,Plastic manufacturing item 26,pcs,18.0,7.2,3.6,32.8,100,300,1,,1
PRD-027,Plastic Product 27,Plastic,Plastic manufacturing item 27,pcs,18.5,7.4,3.7,33.6,100,300,1,,1
PRD-028,Plastic Product 28,Plastic,Plastic manufacturing item 28,pcs,19.0,7.6,3.8,34.4,100,300,1,,1
PRD-029,Plastic Product 29,Plastic,Plastic manufacturing item 29,pcs,19.5,7.8,3.9,35.2,100,300,1,,1
PRD-030,Plastic Product 30,Plastic,Plastic manufacturing item 30,pcs,20.0,8.0,4.0,36.0,100,300,1,,1
PRD-031,Plastic Product 31,Plastic,Plastic manufacturing item 31,pcs,20.5,8.2,4.1,36.8,100,300,1,,1
PRD-032,Plastic Product 32,Plastic,Plastic manufacturing item 32,pcs,21.0,8.4,4.2,37.6,100,300,1,,1
PRD-033,Plastic Product 33,Plastic,Plastic manufacturing item 33,pcs,21.5,8.6,4.3,38.4,100,300,1,,1
PRD-034,Plastic Product 34,Plastic,Plastic manufacturing item 34,pcs,22.0,8.8,4.4,39.2,100,300,1,,1
PRD-035,Plastic Product 35,Plastic,Plastic manufacturing item 35,pcs,22.5,9.0,4.5,40.0,100,300,1,,1
PRD-036,Plastic Product 36,Plastic,Plastic manufacturing item 36,pcs,23.0,9.2,4.6,40.8,100,300,1,,1
PRD-037,Plastic Product 37,Plastic,Plastic manufacturing item 37,pcs,23.5,9.4,4.7,41.6,100,300,1,,1
PRD-038,Plastic Product 38,Plastic,Plastic manufacturing item 38,pcs,24.0,9.6,4.8,42.4,100,300,1,,1
PRD-039,Plastic Product 39,Plastic,Plastic manufacturing item 39,pcs,24.5,9.8,4.9,43.2,100,300,1,,1
PRD-040,Plastic Product 40,Plastic,Plastic manufacturing item 40,pcs,25.0,10.0,5.0,44.0,100,300,1,,1
PRD-041,Plastic Product 41,Plastic,Plastic manufacturing item 41,pcs,25.5,10.2,5.1,44.8,100,300,1,,1
PRD-042,Plastic Product 42,Plastic,Plastic manufacturing item 42,pcs,26.0,10.4,5.2,45.6,100,300,1,,1
PRD-043,Plastic Product 43,Plastic,Plastic manufacturing item 43,pcs,26.5,10.6,5.3,46.4,100,300,1,,1
PRD-044,Plastic Product 44,Plastic,Plastic manufacturing item 44,pcs,27.0,10.8,5.4,47.2,100,300,1,,1
PRD-045,Plastic Product 45,Plastic,Plastic manufacturing item 45,pcs,27.5,11.0,5.5,48.0,100,300,1,,1
PRD-046,Plastic Product 46,Plastic,Plastic manufacturing item 46,pcs,28.0,11.2,5.6,48.8,100,300,1,,1
PRD-047,Plastic Product 47,Plastic,Plastic manufacturing item 47,pcs,28.5,11.4,5.7,49.6,100,300,1,,1
PRD-048,Plastic Product 48,Plastic,Plastic manufacturing item 48,pcs,29.0,11.6,5.8,50.4,100,300,1,,1
PRD-049,Plastic Product 49,Plastic,Plastic manufacturing item 49,pcs,29.5,11.8,5.9,51.2,100,300,1,,1
PRD-050,Plastic Product 50,Plastic,Plastic manufacturing item 50,pcs,30.0,12.0,6.0,52.0,100,300,1,,1
PRD-051,Plastic Product 51,Plastic,Plastic manufacturing item 51,pcs,30.5,12.2,6.1,52.8,100,300,1,,1
PRD-052,Plastic Product 52,Plastic,Plastic manufacturing item 52,pcs,31.0,12.4,6.2,53.6,100,300,1,,1
PRD-053,Plastic Product 53,Plastic,Plastic manufacturing item 53,pcs,31.5,12.6,6.3,54.4,100,300,1,,1
PRD-054,Plastic Product 54,Plastic,Plastic manufacturing item 54,pcs,32.0,12.8,6.4,55.2,100,300,1,,1
PRD-055,Plastic Product 55,Plastic,Plastic manufacturing item 55,pcs,32.5,13.0,6.5,56.0,100,300,1,,1
PRD-056,Plastic Product 56,Plastic,Plastic manufacturing item 56,pcs,33.0,13.2,6.6,56.8,100,300,1,,1
PRD-057,Plastic Product 57,Plastic,Plastic manufacturing item 57,pcs,33.5,13.4,6.7,57.6,100,300,1,,1
PRD-058,Plastic Product 58,Plastic,Plastic manufacturing item 58,pcs,34.0,13.6,6.8,58.4,100,300,1,,1
PRD-059,Plastic Product 59,Plastic,Plastic manufacturing item 59,pcs,34.5,13.8,6.9,59.2,100,300,1,,1
PRD-060,Plastic Product 60,Plastic,Plastic manufacturing item 60,pcs,35.0,14.0,7.0,60.0,100,300,1,,1
PRD-061,Plastic Product 61,Plastic,Plastic manufacturing item 61,pcs,35.5,14.2,7.1,60.8,100,300,1,,1
PRD-062,Plastic Product 62,Plastic,Plastic manufacturing item 62,pcs,36.0,14.4,7.2,61.6,100,300,1,,1
PRD-063,Plastic Product 63,Plastic,Plastic manufacturing item 63,pcs,36.5,14.6,7.3,62.4,100,300,1,,1
PRD-064,Plastic Product 64,Plastic,Plastic manufacturing item 64,pcs,37.0,14.8,7.4,63.2,100,300,1,,1
PRD-065,Plastic Product 65,Plastic,Plastic manufacturing item 65,pcs,37.5,15.0,7.5,64.0,100,300,1,,1
PRD-066,Plastic Product 66,Plastic,Plastic manufacturing item 66,pcs,38.0,15.2,7.6,64.8,100,300,1,,1
PRD-067,Plastic Product 67,Plastic,Plastic manufacturing item 67,pcs,38.5,15.4,7.7,65.6,100,300,1,,1
PRD-068,Plastic Product 68,Plastic,Plastic manufacturing item 68,pcs,39.0,15.6,7.8,66.4,100,300,1,,1
