product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Electric Toothbrush,HEALTH-ET001-001,Health,96.84,45.99,124,20,Sonic electric toothbrush with 3 brushing modes
Children's Building Blocks,TOYS-CB001-002,Toys,53.96,20.82,259,40,200-piece educational building blocks set
Fitness Tracker Band,ELEC-FT001-003,Electronics,72.19,41.57,183,22,"Heart rate monitor, sleep tracking, waterproof"
Men's Casual Shirt,FASHION-MS001-004,Fashion,39.77,16.86,348,50,"Cotton blend casual shirt, available in multiple colors"
Backpack Pro,BAGS-BP001-005,Bags & Luggage,73.04,36.85,225,27,Water-resistant backpack with laptop compartment
Yoga Mat Premium,Sports-YM001-006,Sports & Fitness,34.34,17.88,276,57,Eco-friendly non-slip yoga mat 6mm thick
Coffee Maker Deluxe,HOME-CM001-007,Home & Kitchen,154.01,85.41,58,8,Programmable 12-cup coffee maker with thermal carafe
Men's Casual Shirt,FASHION-MS001-008,Fashion,39.14,16.99,374,43,"Cotton blend casual shirt, available in multiple colors"
Protein Powder 2lb,HEALTH-PP001-009,Health,64.92,29.49,260,36,"Whey protein isolate, vanilla flavor, 30 servings"
Men's Casual Shirt,FASHION-MS001-010,Fashion,39.07,17.34,433,52,"Cotton blend casual shirt, available in multiple colors"
Wireless Bluetooth Headphones,ELEC-BT001-011,Electronics,118.47,72.87,123,21,Noise-cancelling over-ear headphones with 30hr battery
Office Desk Lamp,OFFICE-DL001-012,Office Supplies,51.04,19.97,152,26,LED desk lamp with adjustable brightness and USB port
Wireless Gaming Mouse,GAMING-GM001-013,Gaming,81.66,41.32,263,32,RGB wireless mouse with 16000 DPI sensor
Yoga Mat Premium,Sports-YM001-014,Sports & Fitness,36.74,18.87,326,57,Eco-friendly non-slip yoga mat 6mm thick
Smartphone X12 Pro,ELEC-PH001-015,Electronics,1094.27,671.66,80,13,"Latest flagship with 6.7"" OLED display and triple camera"
Men's Casual Shirt,FASHION-MS001-016,Fashion,36.4,18.92,387,54,"Cotton blend casual shirt, available in multiple colors"
Air Purifier,HOME-AP001-017,Home & Kitchen,192.06,109.84,48,6,HEPA filter air purifier for medium rooms
Gaming Laptop,GAMING-GL001-018,Gaming,1610.6,1058.04,46,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Electric Toothbrush,HEALTH-ET001-019,Health,82.79,50.52,160,19,Sonic electric toothbrush with 3 brushing modes
Women's Winter Jacket,FASHION-WJ001-020,Fashion,135.23,59.84,64,16,Waterproof winter jacket with thermal lining
Coffee Maker Deluxe,HOME-CM001-021,Home & Kitchen,138.56,77.66,64,8,Programmable 12-cup coffee maker with thermal carafe
